season,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total,match_key,home_game_id,home_team,home_Opponent,home_Location,home_fg,home_fga,home_fg_pct,home_fg3,home_fg3a,home_fg3_pct,home_ft,home_fta,home_ft_pct,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_pts,home_ts_pct,home_efg_pct,home_fg3a_per_fga_pct,home_fta_per_fga_pct,home_orb_pct,home_drb_pct,home_trb_pct,home_ast_pct,home_stl_pct,home_blk_pct,home_tov_pct,home_off_rtg,home_def_rtg,home_opp_fg,home_opp_fga,home_opp_fg_pct,home_opp_fg3,home_opp_fg3a,home_opp_fg3_pct,home_opp_ft,home_opp_fta,home_opp_ft_pct,home_opp_orb,home_opp_drb,home_opp_trb,home_opp_ast,home_opp_stl,home_opp_blk,home_opp_tov,home_opp_pf,home_opp_pts,home_opp_ts_pct,home_opp_efg_pct,home_opp_fg3a_per_fga_pct,home_opp_fta_per_fga_pct,home_opp_orb_pct,home_opp_drb_pct,home_opp_trb_pct,home_opp_ast_pct,home_opp_stl_pct,home_opp_blk_pct,home_opp_tov_pct,home_opp_off_rtg,home_opp_def_rtg,home_Win,home_match_key,away_game_id,away_team,away_Opponent,away_Location,away_fg,away_fga,away_fg_pct,away_fg3,away_fg3a,away_fg3_pct,away_ft,away_fta,away_ft_pct,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pts,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_off_rtg,away_def_rtg,away_opp_fg,away_opp_fga,away_opp_fg_pct,away_opp_fg3,away_opp_fg3a,away_opp_fg3_pct,away_opp_ft,away_opp_fta,away_opp_ft_pct,away_opp_orb,away_opp_drb,away_opp_trb,away_opp_ast,away_opp_stl,away_opp_blk,away_opp_tov,away_opp_pf,away_opp_pts,away_opp_ts_pct,away_opp_efg_pct,away_opp_fg3a_per_fga_pct,away_opp_fta_per_fga_pct,away_opp_orb_pct,away_opp_drb_pct,away_opp_trb_pct,away_opp_ast_pct,away_opp_stl_pct,away_opp_blk_pct,away_opp_tov_pct,away_opp_off_rtg,away_opp_def_rtg,away_Win,away_match_key
2024,2023-10-25,True,False,OKC,CHI,124,104,33,28,30,33,0,35,20,27,22,0,home,2.5,224.5,,,,,0.0,1,CHI_OKC_104_124,ba0cc515-c0ea-4a61-843d-5672388a9a7d,CHI,OKC,Home,39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,10,3,13,16,104,0.51,0.479,0.447,0.191,25.5,85.3,49.4,66.7,10.1,7.0,11.3,104.7,124.9,45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,6,4,16,19,124,0.69,0.665,0.476,0.22,14.7,74.5,50.6,66.7,6.0,7.7,15.1,124.9,104.7,0,CHI_OKC_104_124,ba0cc515-c0ea-4a61-843d-5672388a9a7d,OKC,CHI,Away,45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,6,4,16,19,124,0.69,0.665,0.476,0.22,14.7,74.5,50.6,66.7,6.0,7.7,15.1,124.9,104.7,39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,10,3,13,16,104,0.51,0.479,0.447,0.191,25.5,85.3,49.4,66.7,10.1,7.0,11.3,104.7,124.9,1,CHI_OKC_104_124
2024,2023-10-25,True,False,BOS,NYK,108,104,30,21,31,26,0,18,28,27,31,0,away,4.5,223.5,,,,,0.0,0,NYK_BOS_104_108,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,36,97,0.371,18,41,0.439,14,26,0.538,17,30,47,24,9,0,11,22,104,0.48,0.464,0.423,0.268,30.4,81.1,50.5,66.7,9.4,0.0,9.2,109.0,113.2,37,77,0.481,12,39,0.308,22,26,0.846,7,39,46,18,6,11,13,22,108,0.611,0.558,0.506,0.338,18.9,69.6,49.5,48.6,6.3,19.6,12.8,113.2,109.0,0,NYK_BOS_104_108,5b97140e-2cca-4ed8-b440-294dcff4222b,BOS,NYK,Away,37,77,0.481,12,39,0.308,22,26,0.846,7,39,46,18,6,11,13,22,108,0.611,0.558,0.506,0.338,18.9,69.6,49.5,48.6,6.3,19.6,12.8,113.2,109.0,36,97,0.371,18,41,0.439,14,26,0.538,17,30,47,24,9,0,11,22,104,0.48,0.464,0.423,0.268,30.4,81.1,50.5,66.7,9.4,0.0,9.2,109.0,113.2,1,NYK_BOS_104_108
2024,2023-10-25,True,False,DAL,SAS,126,119,36,28,32,30,0,43,25,23,28,0,away,4.5,231.5,,,,,1.0,1,SAS_DAL_119_126,5aadfbad-70cf-43ba-8674-8d0cd6c4d6d2,SAS,DAL,Home,46,89,0.517,11,35,0.314,16,22,0.727,9,36,45,33,8,5,19,23,119,0.603,0.579,0.393,0.247,20.5,73.5,48.4,71.7,7.5,9.6,16.1,111.8,118.4,47,99,0.475,15,47,0.319,17,23,0.739,13,35,48,24,6,3,12,20,126,0.577,0.551,0.475,0.232,26.5,79.5,51.6,51.1,5.6,5.6,9.9,118.4,111.8,0,SAS_DAL_119_126,5aadfbad-70cf-43ba-8674-8d0cd6c4d6d2,DAL,SAS,Away,47,99,0.475,15,47,0.319,17,23,0.739,13,35,48,24,6,3,12,20,126,0.577,0.551,0.475,0.232,26.5,79.5,51.6,51.1,5.6,5.6,9.9,118.4,111.8,46,89,0.517,11,35,0.314,16,22,0.727,9,36,45,33,8,5,19,23,119,0.603,0.579,0.393,0.247,20.5,73.5,48.4,71.7,7.5,9.6,16.1,111.8,118.4,1,SAS_DAL_119_126
2024,2023-10-25,True,False,WAS,IND,120,143,39,29,28,24,0,34,39,37,33,0,home,4.5,235.5,,,,,1.0,1,IND_WAS_143_120,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,10,8,12,23,143,0.637,0.617,0.402,0.112,22.7,78.8,53.1,67.9,9.0,11.1,9.7,129.3,108.5,44,96,0.458,9,24,0.375,23,29,0.793,11,34,45,28,6,9,14,11,120,0.552,0.505,0.25,0.302,21.2,77.3,46.9,63.6,5.4,14.1,11.4,108.5,129.3,1,IND_WAS_143_120,6ace0de5-e91b-42a3-9896-ce4b611343cb,WAS,IND,Away,44,96,0.458,9,24,0.375,23,29,0.793,11,34,45,28,6,9,14,11,120,0.552,0.505,0.25,0.302,21.2,77.3,46.9,63.6,5.4,14.1,11.4,108.5,129.3,56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,10,8,12,23,143,0.637,0.617,0.402,0.112,22.7,78.8,53.1,67.9,9.0,11.1,9.7,129.3,108.5,0,IND_WAS_143_120
2024,2023-10-26,True,False,PHI,MIL,117,118,23,31,31,32,0,30,33,25,30,0,home,5.5,227.5,,,,,0.0,1,MIL_PHI_118_117,93a0a1ed-7500-40a1-904e-5019c5313df2,MIL,PHI,Home,41,81,0.506,11,30,0.367,25,36,0.694,8,35,43,20,9,4,14,23,118,0.609,0.574,0.37,0.444,18.6,89.7,52.4,48.8,8.9,8.9,12.6,116.1,115.1,41,80,0.513,16,35,0.457,19,28,0.679,4,35,39,25,8,4,15,28,117,0.634,0.613,0.438,0.35,10.3,81.4,47.6,61.0,7.9,7.8,14.0,115.1,116.1,1,MIL_PHI_118_117,93a0a1ed-7500-40a1-904e-5019c5313df2,PHI,MIL,Away,41,80,0.513,16,35,0.457,19,28,0.679,4,35,39,25,8,4,15,28,117,0.634,0.613,0.438,0.35,10.3,81.4,47.6,61.0,7.9,7.8,14.0,115.1,116.1,41,81,0.506,11,30,0.367,25,36,0.694,8,35,43,20,9,4,14,23,118,0.609,0.574,0.37,0.444,18.6,89.7,52.4,48.8,8.9,8.9,12.6,116.1,115.1,0,MIL_PHI_118_117
2024,2023-10-26,True,False,PHO,LAL,95,100,30,22,32,11,0,18,30,24,28,0,home,6.5,226.5,,,,,0.0,0,LAL_PHO_100_95,2934a152-587a-4554-99fa-a91723373117,LAL,PHO,Home,36,84,0.429,5,29,0.172,23,29,0.793,8,34,42,24,14,7,16,23,100,0.517,0.458,0.345,0.345,17.0,77.3,46.2,66.7,13.6,14.0,14.2,97.3,92.4,34,81,0.42,9,31,0.29,18,23,0.783,10,39,49,16,7,3,24,21,95,0.521,0.475,0.383,0.284,22.7,83.0,53.8,47.1,6.8,5.5,20.8,92.4,97.3,1,LAL_PHO_100_95,2934a152-587a-4554-99fa-a91723373117,PHO,LAL,Away,34,81,0.42,9,31,0.29,18,23,0.783,10,39,49,16,7,3,24,21,95,0.521,0.475,0.383,0.284,22.7,83.0,53.8,47.1,6.8,5.5,20.8,92.4,97.3,36,84,0.429,5,29,0.172,23,29,0.793,8,34,42,24,14,7,16,23,100,0.517,0.458,0.345,0.345,17.0,77.3,46.2,66.7,13.6,14.0,14.2,97.3,92.4,0,LAL_PHO_100_95
2024,2023-10-27,True,False,LAC,UTA,118,120,30,24,29,35,0,33,30,26,31,0,away,4.5,227.5,,,,,0.0,1,UTA_LAC_120_118,e8ac05e0-bd24-4db8-b414-360df03b9319,UTA,LAC,Home,42,96,0.438,16,41,0.39,20,22,0.909,17,28,45,27,7,4,14,24,120,0.568,0.521,0.427,0.229,36.2,82.4,55.6,64.3,7.2,9.5,11.7,122.9,120.8,41,77,0.532,14,35,0.4,22,28,0.786,6,30,36,17,8,6,16,22,118,0.661,0.623,0.455,0.364,17.6,63.8,44.4,41.5,8.2,10.9,15.2,120.8,122.9,1,UTA_LAC_120_118,e8ac05e0-bd24-4db8-b414-360df03b9319,LAC,UTA,Away,41,77,0.532,14,35,0.4,22,28,0.786,6,30,36,17,8,6,16,22,118,0.661,0.623,0.455,0.364,17.6,63.8,44.4,41.5,8.2,10.9,15.2,120.8,122.9,42,96,0.438,16,41,0.39,20,22,0.909,17,28,45,27,7,4,14,24,120,0.568,0.521,0.427,0.229,36.2,82.4,55.6,64.3,7.2,9.5,11.7,122.9,120.8,0,UTA_LAC_120_118
2024,2023-10-27,True,False,TOR,CHI,103,104,18,17,33,25,10,24,18,23,28,11,home,2.5,216.5,,,,,0.0,0,CHI_TOR_104_103,944d465c-b01d-4b9a-80e9-7ce9f50aaa38,CHI,TOR,Home,37,99,0.374,8,39,0.205,22,28,0.786,15,37,52,18,10,5,17,22,104,0.467,0.414,0.394,0.283,25.0,82.2,49.5,48.6,9.1,10.4,13.2,95.0,94.0,39,84,0.464,9,36,0.25,16,25,0.64,8,45,53,25,5,2,23,29,103,0.542,0.518,0.429,0.298,17.8,75.0,50.5,64.1,4.6,3.3,19.5,94.0,95.0,1,CHI_TOR_104_103,944d465c-b01d-4b9a-80e9-7ce9f50aaa38,TOR,CHI,Away,39,84,0.464,9,36,0.25,16,25,0.64,8,45,53,25,5,2,23,29,103,0.542,0.518,0.429,0.298,17.8,75.0,50.5,64.1,4.6,3.3,19.5,94.0,95.0,37,99,0.374,8,39,0.205,22,28,0.786,15,37,52,18,10,5,17,22,104,0.467,0.414,0.394,0.283,25.0,82.2,49.5,48.6,9.1,10.4,13.2,95.0,94.0,0,CHI_TOR_104_103
2024,2023-10-27,True,False,DEN,MEM,108,104,25,36,28,19,0,18,38,23,25,0,away,5.5,221.5,,,,,0.0,0,MEM_DEN_104_108,e58cd21b-8b23-49ef-aa7e-cf4a7ece1c43,MEM,DEN,Home,37,85,0.435,10,33,0.303,20,24,0.833,13,35,48,22,13,7,21,23,104,0.544,0.494,0.388,0.282,27.7,85.4,54.5,59.5,12.5,13.7,18.0,99.9,103.7,41,88,0.466,14,37,0.378,12,18,0.667,6,34,40,27,11,10,19,18,108,0.563,0.545,0.42,0.205,14.6,72.3,45.5,65.9,10.6,19.2,16.5,103.7,99.9,0,MEM_DEN_104_108,e58cd21b-8b23-49ef-aa7e-cf4a7ece1c43,DEN,MEM,Away,41,88,0.466,14,37,0.378,12,18,0.667,6,34,40,27,11,10,19,18,108,0.563,0.545,0.42,0.205,14.6,72.3,45.5,65.9,10.6,19.2,16.5,103.7,99.9,37,85,0.435,10,33,0.303,20,24,0.833,13,35,48,22,13,7,21,23,104,0.544,0.494,0.388,0.282,27.7,85.4,54.5,59.5,12.5,13.7,18.0,99.9,103.7,1,MEM_DEN_104_108
2024,2023-10-27,True,False,BRK,DAL,120,125,25,34,30,31,0,26,31,31,37,0,home,6.5,231.5,,,,,0.0,1,DAL_BRK_125_120,1bc6eb4e-2136-4bb6-90e7-24276564ac2f,DAL,BRK,Home,44,91,0.484,15,36,0.417,22,28,0.786,8,32,40,20,5,2,9,15,125,0.605,0.566,0.396,0.308,17.8,76.2,46.0,45.5,4.9,4.1,8.0,123.6,118.6,45,92,0.489,21,43,0.488,9,10,0.9,10,37,47,30,5,4,16,28,120,0.622,0.603,0.467,0.109,23.8,82.2,54.0,66.7,4.9,7.3,14.2,118.6,123.6,1,DAL_BRK_125_120,1bc6eb4e-2136-4bb6-90e7-24276564ac2f,BRK,DAL,Away,45,92,0.489,21,43,0.488,9,10,0.9,10,37,47,30,5,4,16,28,120,0.622,0.603,0.467,0.109,23.8,82.2,54.0,66.7,4.9,7.3,14.2,118.6,123.6,44,91,0.484,15,36,0.417,22,28,0.786,8,32,40,20,5,2,9,15,125,0.605,0.566,0.396,0.308,17.8,76.2,46.0,45.5,4.9,4.1,8.0,123.6,118.6,0,DAL_BRK_125_120
